country,country_code,shop_id,shop_name,item_id,product_name,category,platform_category,shop_category,current_price,price,discount_percent,displayed_discount_pct,likes,liked_count,rating_count,monthly_sold_value_proxy,monthly_sold_value,history_sold_value,opportunity_score,recommendation_label,confidence_level,top_three_explanation_reasons,reason_1,reason_2,reason_3,peer_group_benchmark
id,id,809769142,Glad2Glow Official Store,16797836904,Glad2Glow 2pcs Skincare Paket- Moisturizer+Serum-Beauty Sets & Packages Mencerahkan warna kulit  Menghilangkan jerawat pengelupasan kulit penghalang perbaikan Anti penuaan kulit halusMencerahkan bintik g2glow official store,Beauty,Beauty,SKINCARE,78400,78400,61.0,61.0,40407,40407,141730,1000.0,1000.0,10000.0,66.47,Protect Hero SKU,Medium,Likes are at the 94% peer percentile. | Shop credibility score is 87%. | Historical sold-value proxy is at the 79% peer percentile.,Likes are at the 94% peer percentile.,Shop credibility score is 87%.,Historical sold-value proxy is at the 79% peer percentile.,id | Beauty; price pctl 49%; likes pctl 94%; sold-value pctl 79%
id,id,430940247,Mooi Pure Glow Official Shop,19391572774,MOOI Brightening Tone Up Booster Body Lotion,Beauty,Beauty,Lotion,49900,49900,41.0,41.0,64544,64544,39601,1000.0,1000.0,10000.0,66.39,Protect Hero SKU,Medium,Likes are at the 97% peer percentile. | Historical sold-value proxy is at the 79% peer percentile. | The listing belongs to an official shop.,Likes are at the 97% peer percentile.,Historical sold-value proxy is at the 79% peer percentile.,The listing belongs to an official shop.,id | Beauty; price pctl 26%; likes pctl 97%; sold-value pctl 79%
id,id,779266191,lavojoy Official Shop,24720372333,Lavojoy Shampoo Series | dengan Salicylic Acid | Membersihkan Kulit Kepala Dan Rambut | Mengurangi Gatal Kulit Kepala | Mengurangi Minyak Rambut | Membuat Rambut Lembut dan Berkilau,Beauty,Beauty,LVJ HAIR CARE SERIES,58500,58500,41.0,41.0,25849,25849,33362,1000.0,1000.0,10000.0,66.36,Protect Hero SKU,Medium,Likes are at the 90% peer percentile. | Shop credibility score is 85%. | Historical sold-value proxy is at the 79% peer percentile.,Likes are at the 90% peer percentile.,Shop credibility score is 85%.,Historical sold-value proxy is at the 79% peer percentile.,id | Beauty; price pctl 29%; likes pctl 90%; sold-value pctl 79%
id,id,809769142,Glad2Glow Official Store,41101567247,Glad2Glow Facial Wash All Series-Pembersih low pH lembut/niacinamide/brightening/ACNE/eksfoliasi/asam amino/wajah sabun cuci muka face wash skincare,Beauty,Beauty,SKINCARE,38900,38900,61.0,61.0,14296,14296,78804,1000.0,1000.0,10000.0,66.33,Protect Hero SKU,Medium,Price is at the 12% country-category percentile. | Shop credibility score is 87%. | Likes are at the 82% peer percentile.,Price is at the 12% country-category percentile.,Shop credibility score is 87%.,Likes are at the 82% peer percentile.,id | Beauty; price pctl 12%; likes pctl 82%; sold-value pctl 79%
id,id,809769142,Glad2Glow Official Store,29372960469,Glad2Glow Day & Night Renew Cerah Bundle 4-IN-1 Moisturizer+Serum Set Brightening 10%Niacinamide Peeling Eksfoliasi Retinol  tone up Pelembab Tubuh Kit Perawatan Kulit Hidrasi Delima Pelembab Wajah Pencerah g2glow official store,Beauty,Beauty,SKINCARE,74005,74005,63.0,63.0,31738,31738,158253,1000.0,1000.0,10000.0,66.32,Protect Hero SKU,Medium,Likes are at the 92% peer percentile. | Shop credibility score is 87%. | Historical sold-value proxy is at the 79% peer percentile.,Likes are at the 92% peer percentile.,Shop credibility score is 87%.,Historical sold-value proxy is at the 79% peer percentile.,id | Beauty; price pctl 45%; likes pctl 92%; sold-value pctl 79%
id,id,809769142,Glad2Glow Official Store,23856176929,Glad2Glow Volcano 3D Acid Pore Clay Mask Masker Wajah Masker Glad2Glow Masker Komedo Dan Pori Pori Wajah Deep Pores Cleansing Masker Organik Clay Mask Clay Masker Mud Mask Face Masker Jelly Mask Sheetmask Wash Off Mask Masker Jerawat G2Glow Official Store,Beauty,Beauty,SKINCARE,31900,31900,68.0,68.0,20838,20838,42000,1000.0,1000.0,10000.0,66.29,Protect Hero SKU,Medium,Price is at the 3% country-category percentile. | Shop credibility score is 87%. | Likes are at the 86% peer percentile.,Price is at the 3% country-category percentile.,Shop credibility score is 87%.,Likes are at the 86% peer percentile.,id | Beauty; price pctl 3%; likes pctl 86%; sold-value pctl 79%
id,id,779266191,lavojoy Official Shop,29264374480,Lavojoy Let It Glow Black Opium Body Serum Skin Brightening Upgraded Version | Body Lotion Untuk Mencerahkan Dan Melembabkan Kulit Dengan Niacinamide + Ceramide + Vitamin E,Beauty,Beauty,LVJ BODY CARE SERIES,40900,40900,52.0,52.0,25216,25216,32554,1000.0,1000.0,10000.0,66.27,Protect Hero SKU,Medium,Likes are at the 89% peer percentile. | Shop credibility score is 85%. | Price is at the 16% country-category percentile.,Likes are at the 89% peer percentile.,Shop credibility score is 85%.,Price is at the 16% country-category percentile.,id | Beauty; price pctl 16%; likes pctl 89%; sold-value pctl 79%
id,id,1112776376,Scora Official Store,43678841200,SCORA Honey Glow Tone Up Cream 30 Gr,Beauty,Beauty,,34900,34900,51.0,51.0,22506,22506,46686,1000.0,1000.0,10000.0,66.21,Protect Hero SKU,Medium,Price is at the 5% country-category percentile. | Likes are at the 88% peer percentile. | Historical sold-value proxy is at the 79% peer percentile.,Price is at the 5% country-category percentile.,Likes are at the 88% peer percentile.,Historical sold-value proxy is at the 79% peer percentile.,id | Beauty; price pctl 5%; likes pctl 88%; sold-value pctl 79%
id,id,187405886,Alara Cosmetic Official Store,23818940306,Alara Cosmetic Nourishing Balm | Perawatan Kulit |Memudarkan Bekas Luka|Menangani Permasalahan Kulit,Mom & Baby,Mom & Baby,On Sale,55291,55291,42.0,42.0,1682,1682,2898,1.0,1.0,6000.0,65.73,Protect Hero SKU,Medium,Likes are at the 100% peer percentile. | Historical sold-value proxy is at the 100% peer percentile. | Displayed discount is at the 100% peer percentile.,Likes are at the 100% peer percentile.,Historical sold-value proxy is at the 100% peer percentile.,Displayed discount is at the 100% peer percentile.,id | Mom & Baby; price pctl 33%; likes pctl 100%; sold-value pctl 100%
id,id,809769142,Glad2Glow Official Store,28853495832,Glad2Glow peeling gel Apricot Glycolic Acid Exfo Smooth Eksfoliasi peeling produk yang mampu mengangkat sel kulit mati  Komedo Kotoran Scrub Wajah Extract g2glow official store,Beauty,Beauty,,48900,48900,51.0,51.0,21274,21274,36561,1000.0,1000.0,10000.0,65.58,Protect Hero SKU,Medium,Shop credibility score is 87%. | Likes are at the 87% peer percentile. | Historical sold-value proxy is at the 79% peer percentile.,Shop credibility score is 87%.,Likes are at the 87% peer percentile.,Historical sold-value proxy is at the 79% peer percentile.,id | Beauty; price pctl 24%; likes pctl 87%; sold-value pctl 79%
